"wf","metrics","values"
"recipe_logistic_reg","accuracy",0.679245283018868
"recipe_rand_forest","accuracy",0.833333333333333
"recipe_svm_rbf","accuracy",0.808176100628931
"recipe_decision_tree","accuracy",0.830188679245283
"recipe_logistic_reg","roc_auc",0.693126022913257
"recipe_rand_forest","roc_auc",0.881853518821604
"recipe_svm_rbf","roc_auc",0.820090016366612
"recipe_decision_tree","roc_auc",0.84259410801964
"recipe_logistic_reg","accuracy",0.706070287539936
"recipe_rand_forest","accuracy",0.830670926517572
"recipe_svm_rbf","accuracy",0.801916932907348
"recipe_decision_tree","accuracy",0.808306709265176
"recipe_logistic_reg","roc_auc",0.789833113746157
"recipe_rand_forest","roc_auc",0.867632850241546
"recipe_svm_rbf","roc_auc",0.82314448836188
"recipe_decision_tree","roc_auc",0.808519982433026
"recipe_logistic_reg","accuracy",0.738235294117647
"recipe_rand_forest","accuracy",0.794117647058823
"recipe_svm_rbf","accuracy",0.779411764705882
"recipe_decision_tree","accuracy",0.785294117647059
"recipe_logistic_reg","roc_auc",0.748663003663004
"recipe_rand_forest","roc_auc",0.85996336996337
"recipe_svm_rbf","roc_auc",0.804652014652015
"recipe_decision_tree","roc_auc",0.768168498168498
"recipe_logistic_reg","accuracy",0.702875399361022
"recipe_rand_forest","accuracy",0.837060702875399
"recipe_svm_rbf","accuracy",0.801916932907348
"recipe_decision_tree","accuracy",0.811501597444089
"recipe_logistic_reg","roc_auc",0.720736779560309
"recipe_rand_forest","roc_auc",0.877344877344877
"recipe_svm_rbf","roc_auc",0.831126389949919
"recipe_decision_tree","roc_auc",0.818203038791274
"recipe_logistic_reg","accuracy",0.690184049079755
"recipe_rand_forest","accuracy",0.852760736196319
"recipe_svm_rbf","accuracy",0.797546012269939
"recipe_decision_tree","accuracy",0.819018404907976
"recipe_logistic_reg","roc_auc",0.715186831671272
"recipe_rand_forest","roc_auc",0.907084785133566
"recipe_svm_rbf","roc_auc",0.854299331170652
"recipe_decision_tree","roc_auc",0.790780567904201
"recipe_logistic_reg","accuracy",0.675438596491228
"recipe_rand_forest","accuracy",0.789473684210526
"recipe_svm_rbf","accuracy",0.739766081871345
"recipe_decision_tree","accuracy",0.807017543859649
"recipe_logistic_reg","roc_auc",0.66944847605225
"recipe_rand_forest","roc_auc",0.849092888243832
"recipe_svm_rbf","roc_auc",0.749238026124819
"recipe_decision_tree","roc_auc",0.830007256894049
"recipe_logistic_reg","accuracy",0.670886075949367
"recipe_rand_forest","accuracy",0.822784810126582
"recipe_svm_rbf","accuracy",0.753164556962025
"recipe_decision_tree","accuracy",0.79746835443038
"recipe_logistic_reg","roc_auc",0.729796706989247
"recipe_rand_forest","roc_auc",0.861034106182796
"recipe_svm_rbf","roc_auc",0.810378864247312
"recipe_decision_tree","roc_auc",0.824092741935484
"recipe_logistic_reg","accuracy",0.715170278637771
"recipe_rand_forest","accuracy",0.820433436532508
"recipe_svm_rbf","accuracy",0.798761609907121
"recipe_decision_tree","accuracy",0.804953560371517
"recipe_logistic_reg","roc_auc",0.766623233041144
"recipe_rand_forest","roc_auc",0.886973860854458
"recipe_svm_rbf","roc_auc",0.825021716812762
"recipe_decision_tree","roc_auc",0.860163468372424
"recipe_logistic_reg","accuracy",0.624260355029586
"recipe_rand_forest","accuracy",0.813609467455621
"recipe_svm_rbf","accuracy",0.772189349112426
"recipe_decision_tree","accuracy",0.792899408284024
"recipe_logistic_reg","roc_auc",0.667252788806958
"recipe_rand_forest","roc_auc",0.867857818113065
"recipe_svm_rbf","roc_auc",0.800586122140291
"recipe_decision_tree","roc_auc",0.798676498392891
"recipe_logistic_reg","accuracy",0.682779456193353
"recipe_rand_forest","accuracy",0.809667673716012
"recipe_svm_rbf","accuracy",0.794561933534743
"recipe_decision_tree","accuracy",0.845921450151057
"recipe_logistic_reg","roc_auc",0.749776731346919
"recipe_rand_forest","roc_auc",0.851445157099943
"recipe_svm_rbf","roc_auc",0.795627993829666
"recipe_decision_tree","roc_auc",0.841560444913534
